Molecule,Tmin,Tmax,a1,a2,a3,a4,a5,a6,a7
C2H2,298.15,1000.0,261002.07893172858,-3395.6084589891193,18.203039104469,-0.021414028975464877,2.5620548216247773e-05,-1.426918078285133e-08,3.1312913822986557e-12
C2H2,1000.0,5000.0,54319490.76722787,-160587.31137865485,183.81901848044072,-0.0889529597333112,2.2305646408451462e-05,-2.814300863746097e-09,1.4204656580669173e-13
HCN,298.15,1000.0,260434.1723052751,-3194.050997629715,17.828749697185607,-0.028430821152029648,3.754847704674357e-05,-2.4140377115019e-08,6.159403564022421e-12
HCN,1000.0,3500.0,1119839.2699029264,-3657.5794558808952,8.781920525115959,-0.00014806060199930467,-5.0776207725182103e-08,1.1803290884935274e-11,-1.6309679882038514e-15
C2H6,298.15,1000.0,173596.77746349704,-387.0022664367166,-3.352188605259896,0.03778507055305557,-3.172073761535013e-05,1.6430367255521097e-08,-3.90498569701602e-12
C2H6,1000.0,5000.0,5266821.165039261,-21466.382009870853,34.83161779388055,-0.004400582097801432,8.858475884697338e-07,-9.659011580650568e-11,4.4177467523893605e-15
CH4,298.15,1000.0,-83336.93601118038,1852.1765637764343,-8.428662175206393,0.03248568228450557,-2.9976785530476545e-05,1.7566927602846876e-08,-4.671257560453146e-12
CH4,1000.0,2500.0,70846267.82472393,-247186.65083796257,354.19797658375376,-0.2542890264093157,0.00010680505867279352,-2.366683724193018e-08,2.1188631201511633e-12
NO,298.15,1000.0,-102710.96424041512,1203.6134223307015,-1.4248302441254108,0.00888491240331517,-6.426641263657039e-06,2.196114727561878e-09,-2.5402177233763673e-13
NO,1000.0,5000.0,174705.66434014397,-1158.560929727121,5.302092765269014,-0.0003025775171656985,6.722742154659309e-08,-7.766588833727234e-12,3.702189061128804e-16
NO+,298.15,1000.0,-22809.916714587576,111.42738378228668,3.901263148952826,-0.003544640949121639,7.626938504782249e-06,-5.6364819148093865e-09,1.4866607056883662e-12
NO+,1000.0,5000.0,422850.7631878628,-1783.336722419015,5.571867265748508,-0.0003495958733290019,6.500079709221897e-08,-6.150011797580936e-12,2.276314470372557e-16
C2H4,298.15,1000.0,554407.2165953952,-5046.128657522117,18.577468674589955,-0.015215177334261787,2.5367321659023682e-05,-1.7566047598656697e-08,4.6671532344399546e-12
C2H4,1000.0,5000.0,4046325.1942984588,-15304.961995113757,25.16357135258141,-0.0031231347407574095,6.375947458241251e-07,-6.99860817226101e-11,3.2136108467836413e-15
OH,298.15,1000.0,31010.754582682937,-284.0432727180642,4.779771478234963,-0.002542558721186028,2.0384670181185614e-06,-9.62906066823033e-11,-2.368391799138894e-13
OH,1000.0,6000.0,1252180.8346182427,-3000.1878355352474,5.483585550817163,6.067116359769434e-06,-6.175528892076825e-08,1.7395032857456215e-11,-1.2958914569922153e-15
HCL,298.15,1000.0,52127.25192935673,-679.94389673488,7.024135800991535,-0.009061224886884428,1.1739963665289235e-05,-6.773337625740003e-09,1.5032815168239539e-12
