Species,Tmin,Tmax,a1,a2,a3,a4,a5,a6,a7,Cp at 298.15K
N2,200.0,1000.0,23212.042759358475,-398.8938018876072,6.187619423940334,-0.008855581051011715,1.437723978335327e-05,-1.0060514971188235e-08,2.6597556766664e-12,29.123723132709248
 ,1000.0,1900.0,28.603232951886792,268.1021481139026,1.7466935043348177,0.0032412501031021924,-1.7409045634585437e-06,4.724348409303359e-10,-5.4619267494355575e-14, 
N2O,200.0,1000.0,60782.81477873893,-858.085458524301,7.018330180431686,-0.0019877589996198275,6.013228364983173e-06,-4.990339943753106e-09,1.3838434141980789e-12,38.615442920845176
 ,1000.0,1300.0,1.0849194949065506,-3712.3541542800926,20.248417529537345,-0.02443921525439813,2.3244209902426095e-05,-1.0368071686979473e-08,1.6668142490065303e-12, 
NF3,200.0,1000.0,60673.15433336856,-540.1694651182272,2.131510899661848,0.02825717759746038,-4.206481114509302e-05,2.994219572051762e-08,-8.35243687796329e-12,53.338285626214656
 ,1000.0,5000.0,-326901.37864451046,-534.1811492362178,10.432449873084671,-0.0001758187804239435,4.678485892589879e-08,-6.1329905841463526e-12,3.2391245154449457e-16, 
NH3,200.0,1000.0,-79354.24686266974,1311.6679565479144,-4.161635896290541,0.02233605980633233,-2.3264668449317003e-05,1.4272965771456072e-08,-3.676684887698135e-12,35.631158146675574
 ,1000.0,1400.0,0.12467607451888804,3.782039374942809,3.329177514888546,0.0033204790338368455,1.0155079644588652e-06,-1.131750714886492e-09,2.022024688452956e-13, 
NO,200.0,1000.0,-7343.734675362817,95.4911503089036,3.747170242071547,-0.0035256909102159882,9.73655872826649e-06,-8.655284205499436e-09,2.6864008139214356e-12,29.85557146681954
 ,1000.0,5000.0,250593.39930574363,-1364.2636869614266,5.520646730801042,-0.0004193612330384891,1.0046647499696725e-07,-1.2568460050678651e-11,6.467180613062834e-16, 
NO+,298.15,1000.0,6599.993075084794,-213.37174274547584,5.345632152905616,-0.006857622511791466,1.1766667770872883e-05,-8.313277058163685e-09,2.1878598381893103e-12,29.120301949617883
 ,1000.0,5000.0,564211.6550295685,-2163.1642830222486,5.971809688724967,-0.0005614349611202724,1.247981619383557e-07,-1.472325523980337e-11,7.179075391722988e-16, 
NO2,200.0,1000.0,-55216.83308276553,952.3482939805749,-2.440081154987861,0.019505811991221034,-1.930607651137743e-05,9.553021538559927e-09,-1.8856755532688937e-12,37.16953398948631
O2,200.0,400.0,22257.71387532204,-521.0769414653577,8.417829412889688,-0.023486577650948415,5.800878765928826e-05,-6.697773877066783e-08,2.943915723435417e-11,29.36564499341445
O3,200.0,1000.0,-14985.77225186503,624.4519847512203,-2.786791880147695,0.027889585430308606,-3.742783007160458e-05,2.497002964669437e-08,-6.6513537469685184e-12,39.3790676439981
OCS,200.0,1000.0,85959.00371382717,-1318.8524988530844,9.682325899225809,-0.006556564942928634,1.0268501346181821e-05,-7.326524568035753e-09,1.9823499147391495e-12,41.61415008616913
 ,1000.0,5000.0,230997.08408764304,-1858.0306476205658,8.867675926359396,-0.0005400039102853675,1.318701605955886e-07,-1.6499963967942783e-11,8.487901611682518e-16, 
OH,200.0,1000.0,-3458.083791194264,114.17076029568587,2.930920535240232,0.0018730159490296854,-3.688318855698478e-06,3.734453553074863e-09,-1.2715608124655146e-12,29.884261811135616
 ,1000.0,6000.0,843027.1204863128,-1989.2945391999428,4.519418530998175,0.00046232297639375386,-1.754627202340818e-07,3.16481487503225e-11,-2.0029017458911485e-15, 
PH3,200.0,1000.0,-8991.941837894181,443.2566310207185,-0.3736631184915812,0.014110650672225595,-9.529000553485109e-06,4.3539278280327256e-09,-1.1254171208805067e-12,37.23341179883915
 ,1000.0,1800.0,-1517583.4274564292,-735.5023462273346,16.56629501893412,-0.016975394801982655,1.583133687643434e-05,-6.057074168716433e-09,7.568947370383717e-13, 
SF6,200.0,1000.0,247905.32224877653,-3630.5633434695824,16.657006500277163,0.02581491431293336,-4.720679084884775e-05,3.704192549202877e-08,-1.0971462797225657e-11,96.97632493188985
 ,1000.0,5000.0,-500408.4318785647,-1268.2271456058868,20.150417927925083,-0.000550785954763365,1.4762973521771423e-07,-2.0350691428822053e-11,1.133928664512246e-15, 
SO,200.0,1000.0,-36748.27543266352,687.8286116515771,-1.272674191768525,0.01458646840231424,-1.8296838602335122e-05,1.162032695988192e-08,-2.9789705079431348e-12,30.16189884442802
SO2,200.0,1000.0,-48397.59678268398,832.6281045724043,-1.9199672517644804,0.020898949024956582,-2.355116793416268e-05,1.3344867763741781e-08,-3.049601284832759e-12,39.868142872840515
 ,1000.0,5000.0,-101692.76253432328,-864.6547606125484,7.691295959391589,-0.0002834670328245141,7.480029826762897e-08,-9.802641422637373e-12,5.245692579311166e-16, 
SO3,200.0,1000.0,-49725.31042299254,759.1072153709849,-2.120413363415447,0.02904265191991262,-3.2178758872316247e-05,1.7250958799558395e-08,-3.623537591365343e-12,50.660767734839894
